"ID";"TravelMotives";"Population";"TravelModes";"Margins";"RegionCharacteristics";"Periods";"Trips_1";"DistanceTravelled_2";"TimeTravelled_3";"Trips_4";"DistanceTravelled_5";"TimeTravelled_6"
"6004";"2030170";"A048710";"A048584";"MW00000";"PV27    ";"2022JJ00";"    0.01";"    0.21";"    0.28";"       3";"      77";"     1.7"
"6009";"2030170";"A048710";"A048584";"MW00000";"PV28    ";"2022JJ00";"    0.01";"    0.18";"    0.28";"       4";"      66";"     1.7"
"6014";"2030170";"A048710";"A048584";"MW00000";"PV29    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6019";"2030170";"A048710";"A048584";"MW00000";"PV30    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6024";"2030170";"A048710";"A048584";"MW00000";"PV31    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6029";"2030170";"A048710";"A048584";"MW00000";"1018850 ";"2022JJ00";"    0.01";"    0.18";"    0.27";"       3";"      65";"     1.6"
"6034";"2030170";"A048710";"A048584";"MW00000";"1018905 ";"2022JJ00";"    0.01";"    0.23";"    0.35";"       4";"      84";"     2.1"
"6039";"2030170";"A048710";"A048584";"MW00000";"1018955 ";"2022JJ00";"    0.01";"       .";"    0.37";"       4";"       .";"     2.2"
"6044";"2030170";"A048710";"A048584";"MW00000";"1019005 ";"2022JJ00";"    0.01";"    0.30";"    0.40";"       5";"     108";"     2.4"
"6049";"2030170";"A048710";"A048584";"MW00000";"1019052 ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6054";"2030170";"A048710";"A048584";"MOG0095";"NL01    ";"2022JJ00";"    0.01";"    0.21";"    0.30";"       4";"      77";"     1.8"
"6059";"2030170";"A048710";"A048584";"MOG0095";"LD01    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6064";"2030170";"A048710";"A048584";"MOG0095";"LD02    ";"2022JJ00";"    0.01";"    0.23";"    0.32";"       4";"      84";"     1.9"
"6069";"2030170";"A048710";"A048584";"MOG0095";"LD03    ";"2022JJ00";"    0.01";"    0.17";"    0.24";"       3";"      61";"     1.5"
"6074";"2030170";"A048710";"A048584";"MOG0095";"LD04    ";"2022JJ00";"    0.01";"    0.12";"    0.21";"       3";"      43";"     1.3"
"6079";"2030170";"A048710";"A048584";"MOG0095";"PV20    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6084";"2030170";"A048710";"A048584";"MOG0095";"PV21    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6089";"2030170";"A048710";"A048584";"MOG0095";"PV22    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6094";"2030170";"A048710";"A048584";"MOG0095";"PV23    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6099";"2030170";"A048710";"A048584";"MOG0095";"PV24    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6104";"2030170";"A048710";"A048584";"MOG0095";"PV25    ";"2022JJ00";"    0.01";"    0.22";"    0.29";"       4";"      78";"     1.8"
"6109";"2030170";"A048710";"A048584";"MOG0095";"PV26    ";"2022JJ00";"    0.01";"    0.13";"    0.21";"       2";"      49";"     1.3"
"6114";"2030170";"A048710";"A048584";"MOG0095";"PV27    ";"2022JJ00";"    0.01";"    0.12";"    0.18";"       2";"      42";"     1.1"
"6119";"2030170";"A048710";"A048584";"MOG0095";"PV28    ";"2022JJ00";"    0.01";"    0.13";"    0.20";"       3";"      47";"     1.2"
"6124";"2030170";"A048710";"A048584";"MOG0095";"PV29    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6129";"2030170";"A048710";"A048584";"MOG0095";"PV30    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6134";"2030170";"A048710";"A048584";"MOG0095";"PV31    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6139";"2030170";"A048710";"A048584";"MOG0095";"1018850 ";"2022JJ00";"    0.01";"    0.13";"    0.19";"       2";"      46";"     1.2"
"6144";"2030170";"A048710";"A048584";"MOG0095";"1018905 ";"2022JJ00";"    0.01";"    0.15";"    0.25";"       4";"      57";"     1.5"
"6149";"2030170";"A048710";"A048584";"MOG0095";"1018955 ";"2022JJ00";"    0.01";"       .";"    0.22";"       3";"       .";"     1.4"
"6154";"2030170";"A048710";"A048584";"MOG0095";"1019005 ";"2022JJ00";"    0.01";"    0.20";"    0.29";"       4";"      74";"     1.8"
"6159";"2030170";"A048710";"A048584";"MOG0095";"1019052 ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6164";"2030170";"A048710";"A048584";"MBG0095";"NL01    ";"2022JJ00";"    0.01";"    0.30";"    0.39";"       5";"     109";"     2.4"
"6169";"2030170";"A048710";"A048584";"MBG0095";"LD01    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6174";"2030170";"A048710";"A048584";"MBG0095";"LD02    ";"2022JJ00";"    0.02";"    0.46";"    0.58";"       6";"     169";"     3.5"
"6179";"2030170";"A048710";"A048584";"MBG0095";"LD03    ";"2022JJ00";"    0.01";"    0.26";"    0.35";"       4";"      96";"     2.2"
"6184";"2030170";"A048710";"A048584";"MBG0095";"LD04    ";"2022JJ00";"    0.02";"    0.30";"    0.43";"       5";"     108";"     2.6"
"6189";"2030170";"A048710";"A048584";"MBG0095";"PV20    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6194";"2030170";"A048710";"A048584";"MBG0095";"PV21    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6199";"2030170";"A048710";"A048584";"MBG0095";"PV22    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6204";"2030170";"A048710";"A048584";"MBG0095";"PV23    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6209";"2030170";"A048710";"A048584";"MBG0095";"PV24    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6214";"2030170";"A048710";"A048584";"MBG0095";"PV25    ";"2022JJ00";"    0.02";"    0.59";"    0.69";"       7";"     214";"     4.2"
"6219";"2030170";"A048710";"A048584";"MBG0095";"PV26    ";"2022JJ00";"    0.01";"    0.33";"    0.45";"       5";"     122";"     2.7"
"6224";"2030170";"A048710";"A048584";"MBG0095";"PV27    ";"2022JJ00";"    0.01";"    0.30";"    0.38";"       4";"     111";"     2.3"
"6229";"2030170";"A048710";"A048584";"MBG0095";"PV28    ";"2022JJ00";"    0.01";"    0.23";"    0.36";"       4";"      85";"     2.2"
"6234";"2030170";"A048710";"A048584";"MBG0095";"PV29    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6239";"2030170";"A048710";"A048584";"MBG0095";"PV30    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6244";"2030170";"A048710";"A048584";"MBG0095";"PV31    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6249";"2030170";"A048710";"A048584";"MBG0095";"1018850 ";"2022JJ00";"    0.01";"    0.23";"    0.34";"       4";"      85";"     2.1"
"6254";"2030170";"A048710";"A048584";"MBG0095";"1018905 ";"2022JJ00";"    0.01";"    0.30";"    0.45";"       5";"     111";"     2.7"
"6259";"2030170";"A048710";"A048584";"MBG0095";"1018955 ";"2022JJ00";"    0.01";"       .";"    0.51";"       5";"       .";"     3.1"
"6264";"2030170";"A048710";"A048584";"MBG0095";"1019005 ";"2022JJ00";"    0.02";"    0.39";"    0.51";"       6";"     143";"     3.1"
"6269";"2030170";"A048710";"A048584";"MBG0095";"1019052 ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6274";"2030170";"A048710";"A018981";"MW00000";"NL01    ";"2022JJ00";"    0.02";"    0.71";"    1.19";"       6";"     261";"     7.2"
"6279";"2030170";"A048710";"A018981";"MW00000";"LD01    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6284";"2030170";"A048710";"A018981";"MW00000";"LD02    ";"2022JJ00";"    0.02";"    0.76";"    1.18";"       6";"     279";"     7.2"
"6289";"2030170";"A048710";"A018981";"MW00000";"LD03    ";"2022JJ00";"    0.02";"    0.79";"    1.47";"       8";"     288";"     8.9"
"6294";"2030170";"A048710";"A018981";"MW00000";"LD04    ";"2022JJ00";"    0.01";"    0.56";"    0.77";"       4";"     203";"     4.7"
"6299";"2030170";"A048710";"A018981";"MW00000";"PV20    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6304";"2030170";"A048710";"A018981";"MW00000";"PV21    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6309";"2030170";"A048710";"A018981";"MW00000";"PV22    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6314";"2030170";"A048710";"A018981";"MW00000";"PV23    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6319";"2030170";"A048710";"A018981";"MW00000";"PV24    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6324";"2030170";"A048710";"A018981";"MW00000";"PV25    ";"2022JJ00";"    0.02";"    0.91";"    1.42";"       7";"     332";"     8.7"
"6329";"2030170";"A048710";"A018981";"MW00000";"PV26    ";"2022JJ00";"    0.03";"    1.11";"    1.80";"      10";"     406";"    11.0"
"6334";"2030170";"A048710";"A018981";"MW00000";"PV27    ";"2022JJ00";"    0.02";"    0.82";"    1.52";"       8";"     300";"     9.3"
"6339";"2030170";"A048710";"A018981";"MW00000";"PV28    ";"2022JJ00";"    0.02";"    0.71";"    1.43";"       8";"     261";"     8.7"
"6344";"2030170";"A048710";"A018981";"MW00000";"PV29    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6349";"2030170";"A048710";"A018981";"MW00000";"PV30    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6354";"2030170";"A048710";"A018981";"MW00000";"PV31    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6359";"2030170";"A048710";"A018981";"MW00000";"1018850 ";"2022JJ00";"    0.03";"    1.11";"    1.93";"      10";"     406";"    11.8"
